"cbzj","gg","idCode","jx","pzwh","sccs","scpzrq","ssxkzcyr","ypmc"
"bef2c9e9f88b44170ae4c5db93a69534","马昔腾坦片","片剂","10mg","是","H20170376","2017-09-29","Actelion Pharmaceuticals Ltd","Patheon Italia S.p.A."
"03484f36e0ba0c4e4c13f1b7cc79b1d4","多替阿巴拉米片","片剂","每片含多替拉韦钠（以多替拉韦计）50mg,硫酸阿巴卡韦（以阿巴卡韦计）600mg和拉米夫定300mg","是","H20170345","2017-07-26","ViiV Healthcare UK Limited
","Glaxo Operations UK Ltd
"
"a6879cc909e319a71d4882fe9ef15f79","卡格列净片","片剂","100mg(以卡格列净无水物(C24H25FO5S)计)","是","H20170375","2017-09-29","Janssen-Cilag International NV","Janssen Ortho, LLC"
"3ad1339aa458864842f4dd98a6a8593c","卡格列净片","片剂","300mg(以卡格列净无水物(C24H25FO5S)计)","是","H20170374","2017-09-29","Janssen-Cilag International NV","Janssen Ortho, LLC"
"570c5a32516561a41dd74e84a0e1dcab","氢溴酸伏硫西汀片","片剂","5mg(以C18H22N2S计）","是","H20170381;H20170382","2017-11-21","H.Lundbeck A/S","H.Lundbeck A/S"
"d05023e1b4b51803b3ab67f3a81ca7a1","氢溴酸伏硫西汀片","片剂","10mg(以C18H22N2S计）","是","H20170383;H20170384","2017-11-21","H.Lundbeck A/S","H.Lundbeck A/S"
"f31189acde48792d7ff5ebed543c6e3b","乌美溴铵维兰特罗吸入粉雾剂","吸入粉雾剂","62.5μg/25μg","是","H20180005","2018-03-12","Glaxo Group Limited","Glaxo Operations UK Ltd"
"56f4f47819eabe7d9626facddea6a9aa","茚达特罗格隆溴铵
吸入粉雾剂用胶囊","胶囊剂","每粒含马来酸茚达特罗110μg(以C24H28N2O3计)和格隆溴铵50μg(以C19H28NO3计)","是","H20170390;
H20170391","2017-12-28","Novartis Europharm Limited","Novartis Pharma Stein AG
"
"28d257406104e6e9ed5378ed8df165c8","拉替拉韦钾干混悬剂","口服混悬剂","100mg （按拉替拉韦计）","是","H20180006","2018-04-12","Merck Sharp & Dohme Corp.","Patheon Pharmaceuticals Inc. "
"61290e371a95a6ba522ad2388cc722f5","阿托伐他汀钙片","片剂","10mg","是","国药准字H20051407","2005-07-25"," ","辉瑞制药有限公司"
"619e9989df692be7a52a6c295ce468d4","阿托伐他汀钙片","片剂","20mg","是","国药准字H20051408","2005-07-25"," ","辉瑞制药有限公司"
"c56104e4eb23c6fbdb0d68c788283d87","阿托伐他汀钙片","片剂","40mg","是","国药准字H20051409","2005-07-25"," ","辉瑞制药有限公司"
"a47e8bc225207265224cf494e0d98aa5","匹伐他汀钙片","片剂","2mg","是","H20140417","2008-09-28","Kowa Company,Ltd.","Kowa Company,Ltd.,Nagoya Factory"
"0864534abe10f977be1bd2c5089742e2","L-谷氨酰胺呱仑酸钠颗粒","颗粒剂","0.67g：L-谷氨酰胺663.3mg，呱仑酸钠2.0mg","是","H20160619","1988-06-17","Kotobuki Pharmaceutical Co., Ltd.","Kotobuki Pharmaceutical Co., Ltd."
"d32bee08626249ebb10e4b163313e5de","硫唑嘌呤片","片剂","50mg","是","H20170288","1996-01-30","Aspen Pharmacare Australia Pty Ltd","Excella GmbH & Co.KG"
"510c3f308e0adccbb733ba133265c0bc","枸橼酸氢钾钠颗粒","颗粒剂","97.1g/100g","是","H20181127;H20181128","1993-03-09","Meda Pharma GmbH & Co. KG","Plantextrakt GmbH & Co.KG"
"e5084f3dded0e0fe769645df389d830a","硫酸吗啡缓释片","片剂","60mg","是","H20130901","2008-11-04","NAPP PHARMACEUTICALS LIMITED","BARD PHARMACEUTICALS LIMITED"
"467fde1e1bbe5fc41d3f2d7534091300","盐酸羟考酮缓释片","片剂","5mg","是","H20140312;H20140317","2004-01-21","NAPP PHARMACEUTICALS LIMITED","BARD PHARMACEUTICALS LIMITED"
"69ffe909adb53d12d6ee0ef85612d741","盐酸羟考酮缓释片","片剂","10mg","是","H20140313;H20140318","2004-01-21","NAPP PHARMACEUTICALS LIMITED","BARD PHARMACEUTICALS LIMITED"
"d16f8bd3c2b7c33d38f92b6ce4c9dc4d","盐酸羟考酮缓释片","片剂","20mg","是","H20140314;H20140319","2004-01-21","NAPP PHARMACEUTICALS LIMITED","BARD PHARMACEUTICALS LIMITED"
